linux414 4.14.34-1
llvm-libs 6.0.0-4
lm_sensors 3.4.0-2
logrotate 3.14.0-1
lsb-release 1.4-12
lshw B.02.18-2
lua 5.3.4-2
lvm2 2.02.177-5
lxappearance 0.6.3-1
lxinput 0.3.5-1
lxmenu-data 0.1.5-1
lz4 1:1.8.1.2-1
lzo 2.10-1
m4 1.4.18-1
maia-console 1.2-6
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.3-1
man-pages 4.15-1
manjaro-alsa 2012.11-1
manjaro-base-skel 20171029-3
manjaro-browser-settings 20180316-2
manjaro-firmware 20160419-1
manjaro-hello 0.5.11-1
manjaro-hotfixes 2015.12-3
manjaro-i3-settings 20180415-2
manjaro-icons 20170701-1
manjaro-keyring 20171027-1
manjaro-printer 20170501-1
manjaro-release 17.1.8-1
manjaro-settings-manager 0.5.4-11
manjaro-settings-manager-notifier 0.5.4-11
manjaro-system 20180319-1
manjaro-wallpapers-17.0 1.3-1
markdown_previewer 0-1
mdadm 4.0-1
memtest86+ 5.01-2
menu-cache 1.1.0-1
mesa 18.0.0-3
mesa-demos 8.4.0-1
mhwd 0.6.2-5
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.2-4
mhwd-nvidia 1:390.48-1
mhwd-nvidia-304xx 1:304.137-1
mhwd-nvidia-340xx 340.106-1
mhwd-tui 0.4-1
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.28.3-1
mkinitcpio-openswap 0.1.0-2
mlocate 0.26-6
mobile-broadband-provider-info 20170310-1
moc 1:2.5.2-1
modemmanager 1.8rc2+1+g7e949283-1
morc_menu 1.0-2
mousepad 0.4.0-3
mpfr 4.0.1-1
mpg123 1.25.10-1
mtdev 1.1.5-1
mutagen 1.40.0-1
nano 2.9.5-1
ncdu 1.13-1
ncurses 6.1-3
neon 0.30.2-3
nerd-fonts-terminus 1.1.0-1
net-snmp 5.7.3-7
netctl 1.16-1
nettle 3.4-1
network-manager-applet 1.8.11dev+12+ga37483c1-1
networkmanager 1.10.6-3
networkmanager-openconnect 1.2.4-3
networkmanager-openvpn 1.8.2-1
networkmanager-pptp 1.2.6-1
networkmanager-vpnc 1.2.4-3
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
nitrogen 1.6.1-1
nm-connection-editor 1.8.11dev+12+ga37483c1-1
noto-fonts 20180322-1
npth 1.5-1
nspr 4.19-1
nss 3.36-1
nss-mdns 0.10-6
ntfs-3g 2017.3.23-1
ntp 4.2.8.p11-1
open-fuse-iso 1.1-1
openal 1.18.2-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.1-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.7p1-1
openssl 1.1.0.h-1
openssl-1.0 1.0.2.o-1
openvpn 2.4.5-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-2
p11-kit 0.23.10-1
p7zip 16.02-4
package-query 1.9-1
pacman 5.0.2-2
pacman-mirrors 4.10.1-2
pacui 1.9.2-1
palemoon-bin 27.8.3-1
pam 1.3.0-1
pamac 6.2.7-1
pambase 20171006-1
pango 1.42.1-1
pangomm 2.40.1-2
parted 3.2-6
patch 2.7.6-1
patchutils 0.3.4-3
pciutils 3.5.6-1
pcmanfm 1.2.5-2
pcmciautils 018-7
pcre 8.42-1
pcre2 10.31-1
pcsclite 1.8.23-2
perl 5.26.1-2
perl-clone 0.39-4
perl-dbi 1.641-1
perl-error 0.17025-2
perl-file-basedir 0.08-1
perl-file-desktopentry 0.22-3
perl-file-mimeinfo 0.28-3
perl-ipc-system-simple 1.25-3
perl-mailtools 2.20-1
perl-timedate 2.30-4
perl-uri 1.73-1
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
php 7.2.4-1
pinentry 1.1.0-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
polkit 0.113+34+g29ba7af-1.1
polkit-gnome 0.105-3
polkit-qt5 0.112.0+git20180107-1
poppler 0.63.0-1
poppler-data 0.4.8-1
poppler-glib 0.63.0-1
popt 1.16-9
powertop 2.9-1
ppp 2.4.7-4
pptpclient 1.10.0-1
procps-ng 3.3.14-0
psmisc 23.1-1
pygobject-devel 3.28.2-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
pyqt5-common 5.10.1-2
python 3.6.4-2
python-appdirs 1.4.3-1
python-cairo 1.16.3-1
python-chardet 3.0.4-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-gobject 3.28.2-1
python-idna 2.6-1
python-npyscreen 4.10.5-1
python-packaging 16.8-2
python-psutil 5.4.3-1
python-pycups 1.9.73-3
python-pycurl 7.43.0.1-1
python-pyparsing 2.2.0-1
python-pyqt5 5.10.1-2
python-requests 2.18.4-1
python-setproctitle 1.1.10-2
python-setuptools 1:39.0.1-1
python-sip 4.19.8-1
python-six 1.11.0-1
python-urllib3 1.22-1
python-xapp 1.0.1-2
python2 2.7.14-2
python2-cairo 1.16.3-1
python2-gobject2 2.28.7-1
qpdf 8.0.2-1
qt5-base 5.10.1-7
qt5-styleplugins 5.0.0.20170311-5
qt5-svg 5.10.1-1
qt5-x11extras 5.10.1-1
qt5ct 0.35-1
ranger 1.9.1-1
readline 7.0.003-1
reiserfsprogs 3.6.27-1
rpcbind 0.2.4-4
rsync 3.1.3-1
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.4-1
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.10-1
sbc 1.3-1
sbxkb 0.7.6-2
screenfetch 3.8.0.r107.g522c9c0-1
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.8-8
sdl_image 1.2.12-4
sed 4.5-1
serf 1.3.9-2
sg3_utils 1.42-1
shadow 4.5-4
shared-mime-info 1.9-1
sidplay2-libs 2.1.1-1
sip 4.19.8-1
slang 2.3.2-1
smbclient 4.7.6-1
sndio 20180120-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
spandsp 0.0.6-1
spectre-meltdown-checker 0.35-1
speedtest-cli 2.0.0-1
speex 1.2.0-1
speexdsp 1.2rc3-2
splix 2.0.0-13
sqlite 3.23.1-1
srt 1.3.0-1
startup-notification 0.12-5
subversion 1.9.7-4
sudo 1.8.22-1
sysfsutils 2.1.0-9
syslog-ng 3.14.1-1
system-config-printer 1.5.11-2
systemd 238.76-1
systemd-sysvcompat 238.76-1
taglib 1.11.1-1
talloc 2.1.13-1
tar 1.30-1
tdb 1.3.15-1
terminus-font 4.46-1.1
tevent 1:0.9.36-1
texinfo 6.5-1
thin-provisioning-tools 0.7.5-1
tlp 1.1-1.0
transmission-gtk 2.93-1
tree 1.7.0-2
tslib 1.15-1
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-2
ttf-droid 20121017-5
ttf-font-icons 1.1-3
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-8
ttf-liberation 2.00.1-7
twolame 0.3.13-8
tzdata 2018d-1
udisks2 2.7.6-1.1
ufw 0.35-3
upower 0.99.7-1
urxvt-perls 2.2-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
util-linux 2.32-3
v4l-utils 1.14.2-1
v86d 0.1.10-5
vertex-maia-themes 20171114-1
vi 1:070224-2
vibrancy-colors 2.7-2
vid.stab 1.1-1
viewnior 1.6-3
vim 8.0.1542-2
vim-runtime 8.0.1542-2
vlc-nightly 3.0.2v20180321-1
volume_key 0.3.9-5
volumeicon 0.5.1-1
vpnc 0.5.3.svn550-2
vte-common 0.52.1-1
vte3 0.52.1-1
vulkan-icd-loader 1.1.70.0-3
w3m 0.5.3.git20180125-1
wavpack 5.1.0-2
wayland 1.14.0-1
wayland-protocols 1.13-1
webkit2gtk 2.20.1-1
webrtc-audio-processing 0.3-2
wget 1.19.4-3
which 2.21-2
wildmidi 0.4.2-1
wireless-regdb 2017.03.07-1
wireless_tools 30.pre9-1
wmutils 1.2.r2.g9372688-1
woff2 1.0.2-1
wpa_supplicant 1:2.6-11
x265 2.7-1
xarchiver 0.5.4.13-1
xautolock 2.2-4
xbitmaps 1.1.2-1
xcb-proto 1.13-1
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xcursor-breeze 5.11.5-1
xcursor-chameleon-pearl 0.5-4
xcursor-maia 20160417-1
xdg-su 1.2.3-1
xdg-user-dirs 0.17-1
xdg-utils 1.1.2-2
xdotool 3.20160805.1-1
xf86-input-elographics 1.4.1-7
xf86-input-evdev 2.10.5-1
xf86-input-keyboard 1.9.0-2
xf86-input-libinput 0.27.1-1
xf86-input-mouse 1.9.2-3
xf86-input-void 1.4.1-3
xfburn 0.5.5-1
xfce4-power-manager 1.6.1-1
xfconf 4.12.1-4
xfsprogs 4.15.1-1
xkeyboard-config 2.23.1-2
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.3-1
xorg-server 1.19.6+13+gd0d1a694f-2
xorg-server-common 1.19.6+13+gd0d1a694f-2
xorg-setxkbmap 1.3.1-1
xorg-twm 1.0.10-1
xorg-xauth 1.0.10-1
xorg-xdpyinfo 1.3.2-1
xorg-xhost 1.0.7-1
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.1-1
xorg-xkill 1.0.5-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xset 1.2.4-1
xorgproto 2018.4-1
